Beg_Yr_Date,BENE_STATE_ABRVTN,BENE_STATE_DESC,BENE_FIPS_CD,TOT_BENES,ORGNL_MDCR_BENES,MA_AND_OTH_BENES
1/1/2013,AK,Alaska,2,76224,75676,549
1/1/2014,AK,Alaska,2,79822,79198,623
1/1/2015,AK,Alaska,2,83721,83018,702
1/1/2016,AK,Alaska,2,87878,87151,727
1/1/2017,AK,Alaska,2,91879,90549,1330
1/1/2018,AK,Alaska,2,96213,94698,1514
1/1/2019,AK,Alaska,2,100297,98629,1668
1/1/2020,AK,Alaska,2,104465,102635,1830
1/1/2021,AK,Alaska,2,108116,105831,2286
1/1/2022,AK,Alaska,2,111299,108668,2631
1/1/2013,AL,Alabama,1,921477,711448,210029
1/1/2014,AL,Alabama,1,946176,719687,226488
1/1/2015,AL,Alabama,1,967732,723519,244213
1/1/2016,AL,Alabama,1,988043,726139,261904
1/1/2017,AL,Alabama,1,1007423,640531,366892
1/1/2018,AL,Alabama,1,1027493,624503,402990
1/1/2019,AL,Alabama,1,1046588,605614,440974
1/1/2020,AL,Alabama,1,1062565,576690,485875
1/1/2021,AL,Alabama,1,1070474,528983,541491
1/1/2022,AL,Alabama,1,1084133,495877,588256
1/1/2013,AR,Arkansas,5,572713,467399,105315
1/1/2014,AR,Arkansas,5,585212,472498,112714
1/1/2015,AR,Arkansas,5,595571,476333,119237
1/1/2016,AR,Arkansas,5,606142,480306,125836
1/1/2017,AR,Arkansas,5,616231,480223,136008
1/1/2018,AR,Arkansas,5,627641,476217,151424
1/1/2019,AR,Arkansas,5,637556,468473,169083
1/1/2020,AR,Arkansas,5,646920,453946,192975
1/1/2021,AR,Arkansas,5,653277,430724,222553
1/1/2022,AR,Arkansas,5,660594,413317,247278
1/1/2013,AS,American Samoa,60,3798,3683,115
1/1/2014,AS,American Samoa,60,3906,3787,119
1/1/2015,AS,American Samoa,60,3915,3783,132
1/1/2016,AS,American Samoa,60,3950,3810,140
1/1/2017,AS,American Samoa,60,3989,3842,147
1/1/2018,AS,American Samoa,60,4028,3823,205
1/1/2019,AS,American Samoa,60,4569,4354,216
1/1/2020,AS,American Samoa,60,4716,4446,269
1/1/2021,AS,American Samoa,60,4770,4465,305
1/1/2022,AS,American Samoa,60,4855,4450,405
1/1/2013,AZ,Arizona,4,1050128,658948,391180
1/1/2014,AZ,Arizona,4,1094226,683611,410615
1/1/2015,AZ,Arizona,4,1137989,704362,433627
1/1/2016,AZ,Arizona,4,1180422,730023,450399
1/1/2017,AZ,Arizona,4,1226671,753929,472743
1/1/2018,AZ,Arizona,4,1271312,775111,496201
1/1/2019,AZ,Arizona,4,1325833,789199,536634
1/1/2020,AZ,Arizona,4,1370074,788009,582065
1/1/2021,AZ,Arizona,4,1400160,767513,632647
1/1/2022,AZ,Arizona,4,1428991,752362,676628
