MONTH,BENE_STATE_ABRVTN,BENE_STATE_DESC,BENE_COUNTY_DESC,BENE_FIPS_CD,TOT_BENES,ORGNL_MDCR_BENES,MA_AND_OTH_BENES,AGED_TOT_BENES,AGED_ESRD_BENES,AGED_NO_ESRD_BENES,DSBLD_TOT_BENES,DSBLD_ESRD_AND_ESRD_ONLY_BENES,DSBLD_NO_ESRD_BENES,A_B_TOT_BENES,A_B_ORGNL_MDCR_BENES,A_B_MA_AND_OTH_BENES,PRSCRPTN_DRUG_TOT_BENES,PRSCRPTN_DRUG_PDP_BENES,PRSCRPTN_DRUG_MAPD_BENES,PRSCRPTN_DRUG_DEEMED_ELIGIBLE_FULL_LIS_BENES,PRSCRPTN_DRUG_FULL_LIS_BENES,PRSCRPTN_DRUG_PARTIAL_LIS_BENES,PRSCRPTN_DRUG_NO_LIS_BENES
4/1/2013,VA,Virginia,Accomack,51001,7978,7056,922,6736,46,6690,1242,46,1196,7430,6509,921,5105,4298,807,1524,315,87,3179
4/1/2013,VA,Virginia,Albemarle,51003,16379,15035,1344,14899,49,14850,1480,55,1425,14735,13391,1344,10114,8908,1206,1443,242,89,8340
4/1/2013,VA,Virginia,Alexandria City,51510,14732,13434,1298,13362,82,13280,1370,88,1282,11918,10622,1296,6118,4899,1219,1819,329,63,3907
4/1/2013,VA,Virginia,Alleghany,51005,4322,3890,432,3444,22,3422,878,11,867,4090,3658,432,3119,2829,290,801,106,42,2170
4/1/2013,VA,Virginia,Amelia,51007,2615,2118,497,2158,*,*,457,*,*,2401,1904,497,1774,1311,463,445,74,26,1229
4/1/2013,VA,Virginia,Amherst,51009,6989,6010,979,5685,51,5634,1304,34,1270,6518,5539,979,5014,4109,905,1148,198,83,3585
4/1/2013,VA,Virginia,Appomattox,51011,3470,2986,484,2791,27,2764,679,14,665,3272,2788,484,2515,2066,449,662,96,54,1703
4/1/2013,VA,Virginia,Arlington,51013,20633,18773,1860,19008,57,18951,1625,81,1544,16521,14662,1859,8568,6823,1745,2681,322,108,5457
4/1/2013,VA,Virginia,Augusta,51015,15753,13823,1930,13344,58,13286,2409,45,2364,14773,12843,1930,10537,8991,1546,1802,349,128,8258
4/1/2013,VA,Virginia,Bath,51017,1228,1149,79,1066,*,*,162,*,*,1155,1076,79,884,825,59,198,37,23,626
4/1/2013,VA,Virginia,Bedford,51019,16701,14135,2566,14016,62,13954,2685,50,2635,15518,12955,2563,11330,9201,2129,1880,416,161,8873
4/1/2013,VA,Virginia,Bland,51021,1647,1369,278,1238,*,*,409,*,*,1565,1287,278,1118,886,232,231,57,21,809
4/1/2013,VA,Virginia,Botetourt,51023,7376,5868,1508,6269,28,6241,1107,13,1094,6821,5313,1508,4965,3587,1378,812,165,69,3919
4/1/2013,VA,Virginia,Bristol City,51520,4404,2802,1602,3363,*,*,1041,*,*,4126,2524,1602,3314,1757,1557,1030,142,56,2086
4/1/2013,VA,Virginia,Brunswick,51025,3667,3175,492,2931,27,2904,736,36,700,3446,2954,492,2632,2189,443,1036,110,42,1444
4/1/2013,VA,Virginia,Buchanan,51027,7416,5372,2044,4289,16,4273,3127,17,3110,7062,5019,2043,5462,3736,1726,1572,445,122,3323
4/1/2013,VA,Virginia,Buckingham,51029,3079,2707,372,2448,13,2435,631,14,617,2834,2462,372,2092,1780,312,692,133,51,1216
4/1/2013,VA,Virginia,Buena Vista City,51530,1366,1129,237,1088,*,*,278,*,*,1289,1052,237,985,781,204,309,61,19,596
4/1/2013,VA,Virginia,Campbell,51031,11507,9942,1565,9365,65,9300,2142,61,2081,10781,9216,1565,8242,6821,1421,1955,354,175,5758
4/1/2013,VA,Virginia,Caroline,51033,4904,4246,658,4045,30,4015,859,32,827,4465,3807,658,2911,2294,617,753,214,58,1886
4/1/2013,VA,Virginia,Carroll,51035,7431,6528,903,5847,21,5826,1584,15,1569,7066,6163,903,5379,4701,678,1705,268,131,3275
4/1/2013,VA,Virginia,Charles City,51036,1577,1219,358,1317,11,1306,260,17,243,1453,1095,358,1049,744,305,235,77,22,715
4/1/2013,VA,Virginia,Charlotte,51037,3178,2740,438,2568,22,2546,610,14,596,3006,2568,438,2282,1887,395,782,137,42,1321
4/1/2013,VA,Virginia,Charlottesville City,51540,5579,5178,401,4427,24,4403,1152,48,1104,5010,4610,400,3785,3405,380,1193,142,55,2395
4/1/2013,VA,Virginia,Chesapeake City,51550,30827,26162,4665,26151,206,25945,4676,229,4447,27739,23075,4664,15437,11331,4106,3510,751,235,10941
4/1/2013,VA,Virginia,Chesterfield,51041,46563,37714,8849,39767,182,39585,6796,209,6587,41743,32894,8849,29096,20829,8267,4427,853,276,23540
4/1/2013,VA,Virginia,Clarke,51043,2641,2362,279,2408,*,*,233,*,*,2383,2104,279,1465,1221,244,256,78,30,1101
4/1/2013,VA,Virginia,Colonial Heights City,51570,3967,3568,399,3450,*,*,517,18,499,3631,3232,399,2069,1695,374,405,84,16,1564
4/1/2013,VA,Virginia,Covington City,51580,1672,1527,145,1275,*,*,397,*,*,1550,1405,145,1173,1043,130,348,48,25,752
4/1/2013,VA,Virginia,Craig,51045,1192,979,213,900,*,*,292,*,*,1080,867,213,802,595,207,196,40,14,552
4/1/2013,VA,Virginia,Culpeper,51047,7666,6779,887,6521,50,6471,1145,37,1108,7004,6117,887,4402,3639,763,1050,225,72,3055
4/1/2013,VA,Virginia,Cumberland,51049,2044,1706,338,1672,*,*,372,*,*,1900,1563,337,1402,1088,314,415,70,29,888
4/1/2013,VA,Virginia,Danville City,51590,10872,9271,1601,8471,77,8394,2401,111,2290,10304,8703,1601,8263,7161,1102,3056,423,161,4623
4/1/2013,VA,Virginia,Dickenson,51051,4645,3366,1279,2710,*,*,1935,*,*,4400,3121,1279,3077,1933,1144,1067,221,101,1688
4/1/2013,VA,Virginia,Dinwiddie,51053,5082,4271,811,4004,29,3975,1078,26,1052,4654,3843,811,3258,2480,778,859,156,49,2194
4/1/2013,VA,Virginia,Emporia City,51595,1184,958,226,895,13,882,289,12,277,1113,887,226,907,734,173,452,52,16,387
4/1/2013,VA,Virginia,Essex,51057,2568,2235,333,2169,14,2155,399,13,386,2384,2051,333,1682,1394,288,409,90,19,1164
4/1/2013,VA,Virginia,Fairfax,51059,123116,109818,13298,115105,446,114659,8011,435,7576,99760,86484,13276,48130,35815,12315,12110,2109,438,33473
4/1/2013,VA,Virginia,Fairfax City,51600,3186,2803,383,2955,14,2941,231,12,219,2696,2313,383,1294,938,356,304,*,*,930
4/1/2013,VA,Virginia,Falls Church City,51610,1586,1421,165,1489,*,*,97,*,*,1276,1113,163,650,498,152,135,*,*,491
4/1/2013,VA,Virginia,Fauquier,51061,10161,9212,949,9148,45,9103,1013,33,980,8970,8022,948,4904,4133,771,809,166,52,3877
4/1/2013,VA,Virginia,Floyd,51063,3516,2923,593,2974,12,2962,542,*,*,3276,2683,593,2443,1895,548,508,86,45,1804
4/1/2013,VA,Virginia,Fluvanna,51065,4907,4397,510,4365,22,4343,542,19,523,4526,4016,510,2970,2525,445,447,104,19,2400
4/1/2013,VA,Virginia,Franklin,51067,12914,9927,2987,10485,46,10439,2429,22,2407,12088,9101,2987,9163,6444,2719,1928,405,152,6678
4/1/2013,VA,Virginia,Franklin City,51620,1807,1637,170,1398,12,1386,409,21,388,1689,1519,170,1304,1153,151,491,77,16,720
